participant,item,condition,besasp,mono,bi,besasp_total,heritage,heritage_
L001,1,first,1,2,2,10,0,no
L001,2,first,1,2,2,10,0,no
L001,3,first,1,2,2,10,0,no
L001,4,first,1,2,2,10,0,no
L001,5,first,1,2,2,10,0,no
L001,6,second,1,2,2,10,0,no
L001,7,second,1,2,2,10,0,no
L001,8,second,1,2,2,10,0,no
L001,9,second,1,2,2,10,0,no
L001,10,second,1,2,2,10,0,no
L002,1,first,0,2,3,6,0,no
L002,2,first,1,2,3,6,0,no
L002,3,first,1,2,3,6,0,no
L002,4,first,1,2,3,6,0,no
L002,5,first,1,2,3,6,0,no
L002,6,second,1,2,3,6,0,no
L002,7,second,0,2,3,6,0,no
L002,8,second,0,2,3,6,0,no
L002,9,second,0,2,3,6,0,no
L002,10,second,1,2,3,6,0,no
L003,1,first,1,2,2,10,0,no
L003,2,first,1,2,2,10,0,no
L003,3,first,1,2,2,10,0,no
L003,4,first,1,2,2,10,0,no
L003,5,first,1,2,2,10,0,no
L003,6,second,1,2,2,10,0,no
L003,7,second,1,2,2,10,0,no
L003,8,second,1,2,2,10,0,no
L003,9,second,1,2,2,10,0,no
L003,10,second,1,2,2,10,0,no
L004,1,first,1,2,3,6,0,no
L004,2,first,1,2,3,6,0,no
L004,3,first,1,2,3,6,0,no
L004,4,first,0,2,3,6,0,no
L004,5,first,0,2,3,6,0,no
L004,6,second,1,2,3,6,0,no
L004,7,second,1,2,3,6,0,no
L004,8,second,1,2,3,6,0,no
L004,9,second,1,2,3,6,0,no
L004,10,second,1,2,3,6,0,no
L005,1,first,1,2,3,8,0,no
L005,2,first,1,2,3,8,0,no
L005,3,first,1,2,3,8,0,no
L005,4,first,1,2,3,8,0,no
L005,5,first,1,2,3,8,0,no
L005,6,second,1,2,3,8,0,no
L005,7,second,0,2,3,8,0,no
L005,8,second,1,2,3,8,0,no
L005,9,second,0,2,3,8,0,no
L005,10,second,1,2,3,8,0,no
L006,1,first,1,2,3,10,0,no
L006,2,first,1,2,3,10,0,no
L006,3,first,1,2,3,10,0,no
L006,4,first,1,2,3,10,0,no
L006,5,first,1,2,3,10,0,no
L006,6,second,0,2,3,10,0,no
L006,7,second,0,2,3,10,0,no
L006,8,second,1,2,3,10,0,no
L006,9,second,1,2,3,10,0,no
L006,10,second,1,2,3,10,0,no
L007,1,first,0,2,2,10,0,no
L007,2,first,0,2,2,10,0,no
L007,3,first,0,2,2,10,0,no
L007,4,first,0,2,2,10,0,no
L007,5,first,0,2,2,10,0,no
L007,6,second,0,2,2,10,0,no
L007,7,second,0,2,2,10,0,no
L007,8,second,1,2,2,10,0,no
L007,9,second,0,2,2,10,0,no
L007,10,second,1,2,2,10,0,no
