participant,item,condition,besasp,mono,bi,heritage,besasp_total,heritage_
H001,1,first,1,2,3,1,10,yes
H001,2,first,1,2,3,1,10,yes
H001,3,first,1,2,3,1,10,yes
H001,4,first,1,2,3,1,10,yes
H001,5,first,1,2,3,1,10,yes
H001,6,second,1,2,3,1,10,yes
H001,7,second,1,2,3,1,10,yes
H001,8,second,1,2,3,1,10,yes
H001,9,second,1,2,3,1,10,yes
H001,10,second,1,2,3,1,10,yes
H002,1,first,1,3,4,1,10,yes
H002,2,first,1,3,4,1,10,yes
H002,3,first,1,3,4,1,10,yes
H002,4,first,1,3,4,1,10,yes
H002,5,first,1,3,4,1,10,yes
H002,6,second,1,3,4,1,10,yes
H002,7,second,1,3,4,1,10,yes
H002,8,second,1,3,4,1,10,yes
H002,9,second,1,3,4,1,10,yes
H002,10,second,1,3,4,1,10,yes
H003,1,first,1,3,5,1,10,yes
H003,2,first,1,3,5,1,10,yes
H003,3,first,1,3,5,1,10,yes
H003,4,first,1,3,5,1,10,yes
H003,5,first,1,3,5,1,10,yes
H003,6,second,1,3,5,1,10,yes
H003,7,second,1,3,5,1,10,yes
H003,8,second,1,3,5,1,10,yes
H003,9,second,1,3,5,1,10,yes
H003,10,second,1,3,5,1,10,yes
H004,1,first,1,2,3,1,10,yes
H004,2,first,1,2,3,1,10,yes
H004,3,first,1,2,3,1,10,yes
H004,4,first,1,2,3,1,10,yes
H004,5,first,1,2,3,1,10,yes
H004,6,second,1,2,3,1,10,yes
H004,7,second,1,2,3,1,10,yes
H004,8,second,1,2,3,1,10,yes
H004,9,second,1,2,3,1,10,yes
H004,10,second,1,2,3,1,10,yes
H005,1,first,1,2,2,1,9,yes
H005,2,first,1,2,2,1,9,yes
H005,3,first,1,2,2,1,9,yes
H005,4,first,1,2,2,1,9,yes
H005,5,first,1,2,2,1,9,yes
H005,6,second,1,2,2,1,9,yes
H005,7,second,1,2,2,1,9,yes
H005,8,second,1,2,2,1,9,yes
H005,9,second,0,2,2,1,9,yes
H005,10,second,1,2,2,1,9,yes
H006,1,first,1,3,4,1,10,yes
H006,2,first,1,3,4,1,10,yes
H006,3,first,1,3,4,1,10,yes
H006,4,first,1,3,4,1,10,yes
H006,5,first,1,3,4,1,10,yes
H006,6,second,1,3,4,1,10,yes
H006,7,second,1,3,4,1,10,yes
H006,8,second,1,3,4,1,10,yes
H006,9,second,1,3,4,1,10,yes
H006,10,second,1,3,4,1,10,yes
H007,1,first,0,1,2,1,5,yes
H007,2,first,0,1,2,1,5,yes
H007,3,first,0,1,2,1,5,yes
H007,4,first,0,1,2,1,5,yes
H007,5,first,0,1,2,1,5,yes
H007,6,second,1,1,2,1,5,yes
H007,7,second,1,1,2,1,5,yes
H007,8,second,1,1,2,1,5,yes
H007,9,second,1,1,2,1,5,yes
H007,10,second,1,1,2,1,5,yes
H009,1,first,0,2,3,1,7,yes
H009,2,first,0,2,3,1,7,yes
H009,3,first,1,2,3,1,7,yes
H009,4,first,1,2,3,1,7,yes
H009,5,first,1,2,3,1,7,yes
H009,6,second,1,2,3,1,7,yes
H009,7,second,0,2,3,1,7,yes
H009,8,second,1,2,3,1,7,yes
H009,9,second,1,2,3,1,7,yes
H009,10,second,1,2,3,1,7,yes
H011,1,first,0,3,4,1,4,yes
H011,2,first,1,3,4,1,4,yes
H011,3,first,1,3,4,1,4,yes
H011,4,first,0,3,4,1,4,yes
H011,5,first,0,3,4,1,4,yes
H011,6,second,0,3,4,1,4,yes
H011,7,second,0,3,4,1,4,yes
H011,8,second,0,3,4,1,4,yes
H011,9,second,1,3,4,1,4,yes
H011,10,second,1,3,4,1,4,yes
H013,1,first,0,3,3,1,7,yes
H013,2,first,0,3,3,1,7,yes
H013,3,first,1,3,3,1,7,yes
H013,4,first,1,3,3,1,7,yes
H013,5,first,0,3,3,1,7,yes
H013,6,second,1,3,3,1,7,yes
H013,7,second,1,3,3,1,7,yes
H013,8,second,1,3,3,1,7,yes
H013,9,second,1,3,3,1,7,yes
H013,10,second,1,3,3,1,7,yes
H014,1,first,0,4,4,1,5,yes
H014,2,first,1,4,4,1,5,yes
H014,3,first,0,4,4,1,5,yes
H014,4,first,1,4,4,1,5,yes
H014,5,first,0,4,4,1,5,yes
H014,6,second,0,4,4,1,5,yes
H014,7,second,1,4,4,1,5,yes
H014,8,second,1,4,4,1,5,yes
H014,9,second,0,4,4,1,5,yes
H014,10,second,1,4,4,1,5,yes
H015,1,first,1,3,4,1,8,yes
H015,2,first,1,3,4,1,8,yes
H015,3,first,1,3,4,1,8,yes
H015,4,first,1,3,4,1,8,yes
H015,5,first,1,3,4,1,8,yes
H015,6,second,1,3,4,1,8,yes
H015,7,second,0,3,4,1,8,yes
H015,8,second,1,3,4,1,8,yes
H015,9,second,0,3,4,1,8,yes
H015,10,second,1,3,4,1,8,yes
H016,1,first,1,2,3,1,10,yes
H016,2,first,1,2,3,1,10,yes
H016,3,first,1,2,3,1,10,yes
H016,4,first,1,2,3,1,10,yes
H016,5,first,1,2,3,1,10,yes
H016,6,second,1,2,3,1,10,yes
H016,7,second,1,2,3,1,10,yes
H016,8,second,1,2,3,1,10,yes
H016,9,second,1,2,3,1,10,yes
H016,10,second,1,2,3,1,10,yes
H017,1,first,1,5,5,1,10,yes
H017,2,first,1,5,5,1,10,yes
H017,3,first,1,5,5,1,10,yes
H017,4,first,1,5,5,1,10,yes
